MedicineName,Old price,NewPrice,Quantity,Stars,Rating,Discount,Description
Gynoveda Medohar Guggulu Fat Burner Ayurvedic Tablets F...,"₹1,400",₹782,0,4,(71),44% off,"Buy 3 items, save extra 5%"
"VITASTA Josh Plus Ayurvedic Massage Oil For Long,Time, ...","₹1,199",₹203,0,0,0,83% off,Bank Offer
Rex Remedies Farbah Oil (25ml) (Pack Of 2),₹460,₹314,Pack of 2,3.8,(27),31% off,Bank Offer
HIMALAYA Guduchi,₹165,₹92,0,4.4,"(2,068)",44% off,"Buy 3 items, save extra 5%"
Kapiva Acne Ease Juice - Ayurvedic Juice for Acne Contr...,₹549,₹280,0,4.2,(207),48% off,Bank Offer
Fasczo Golden Jack Organic Solution Removes Weakness Of...,"₹1,999",₹215,Pack of 2,0,0,89% off,"Buy 3 items, save extra 5%"
INTIMIFY Power Oil for Men 1sex Power Male Long Time Pe...,₹699,₹229,0,0,0,67% off,Bank Offer
"VITASTA Ayurvedic Delay spray,long time,long last spray...","₹1,099",₹236,0,3.8,(65),78% off,Bank Offer
Dettol Antiseptic Liquid for First Aid & Liquid Disinfe...,₹711,₹611,"1 L, Pack of 2",0,0,14% off,Bank Offer
Kapiva Pure Tulsi Ark (Helps Boost Immunity) - 30 Ml,₹320,₹168,0,4.4,(281),47% off,"Buy 3 items, save extra 5%"
Kapiva Dia Free Juice - Controls Blood Sugar Levels | A...,₹549,₹355,0,4.3,"(1,764)",35% off,"Buy 3 items, save extra 5%"
Baidyanath Ashwagandha Churna - 100 Gm,₹105,₹56,0,4.1,"(2,817)",46% off,"Buy 3 items, save extra 5%"
Paurush Jiwan (Pack of 2),₹444,₹220,0,4.2,"(7,953)",50% off,#10 Rated
Kapiva Aloe Vera + Wheatgrass Juice Natural Detoxifier ...,₹450,₹244,0,4.3,"(23,833)",45% off,#1 Rated
Gynoveda Anti Acne Ayurvedic Medicine. Manjistha Blood ...,₹800,₹483,0,4.1,(149),39% off,"Buy 3 items, save extra 5%"
Baidyanath Vansaar Isabgol - Psyllium Husk Powder - 200...,₹225,₹125,0,4.5,"(4,958)",44% off,"Buy 3 items, save extra 5%"
Aqualens Comfort Contact Lens Cleaner (Lens Case Free) ...,₹440,₹172,360 ml,4.5,(836),60% off,#10 Rated
inlazer Women S-E-X Power Ashwagandha Tablet For S-exua...,₹999,₹143,0,3,(4),85% off,"Buy 3 items, save extra 5%"
ELEMENTS WELLNESS WOMAN COMPANION PACK OF 2 400 ML,₹680,₹376,Pack of 2,4.3,(46),44% off,Bank Offer
Kapiva Digesti Care Juice - Provides Relief From Acidit...,₹549,₹307,0,4,(382),44% off,Bank Offer
Kapiva Pure Aloe Vera Skin Gel - Hydrating Gel for Face,₹450,₹252,0,4.4,(773),44% off,Lowest price in the year
"VITASTA Ayurvedic massage oil,Sanda oil,japani oil","₹4,497",₹451,Pack of 3,0,0,89% off,Bank Offer
inlazer ProVigr Sex Capsules | For Men's Health Strengt...,₹999,₹240,0,0,0,75% off,Bank Offer
Dr. Vaidya's Shilajit Gold and Shilajit Oil For Extra P...,₹950,₹584,0,3.9,(305),38% off,Bank Offer
Dabur Chyawanprakash,₹415,₹280,900 g,4.5,"(15,153)",32% off,#2 Rated
Hamdard Misali Tablet (15tab) PACK OF 17,₹510,₹410,Pack of 17,4.6,(8),19% off,Bank Offer
Good Health Dr chopra natural aroma sanda oil massage d...,₹975,₹180,Pack of 3,3.5,(13),81% off,Bank Offer
"N2B AYURVEDA Sanda Extra Power Oil 30ml for men, aroma ...","₹1,199",₹158,0,4.7,(6),86% off,Bank Offer
Vigini Long Time Increase Strength Stamina Big Size Pow...,₹825,₹359,0,4.2,(18),56% off,Bank Offer
Kapiva Hair Care Juice| For Hair Nourishment from Withi...,"₹1,398",₹753,Pack of 2,4.1,(810),46% off,Bank Offer
Dabur Chyawanprash Awaleha,0,₹395,0,4.5,"(56,430)",0,#2 Rated
INTIMIFY Ayurvedic sanda Oil ling massage Oil For Men,₹599,₹204,0,3.9,(63),65% off,Bank Offer
MOOV Instant Pain Relief Cream Regular Cream,₹179,₹136,50 g,4.5,"(3,568)",24% off,#2 Rated
Kapiva Amla Juice Pack of 2 | Boosts Skin & Hair Health,₹598,₹339,Pack of 2,4.3,(86),43% off,"Buy 3 items, save extra 5%"
Gynoveda Women 16+ Skin Repair. AMLA Ayurvedic Tablets....,₹700,₹179,0,3.9,(40),74% off,"Buy 3 items, save extra 5%"
"Dettol Home Disinfection Pack - Lavender, Lime (500ml e...",₹545,₹261,"1225 ml, Pack of 3",4.4,(103),52% off,"Buy 3 items, save extra 5%"
Kapiva Karela Jamun Juice | Natural Juice made from Fre...,₹349,₹184,0,4.3,"(3,924)",47% off,"Buy 3 items, save extra 5%"
"Dettol Multi-use Hygiene Liquid, Lime Fresh - 500 ml An...",₹579,₹324,"1500 ml, Pack of 3",4.4,"(19,958)",44% off,"Buy 3 items, save extra 5%"
HIMALAYA Brahmi,₹165,₹116,0,4.3,"(7,504)",29% off,"Buy 3 items, save extra 5%"
Savlon Disinfectant Antiseptic Liquid,₹310,₹138,1 L,4.5,"(30,758)",55% off,"Buy 3 items, save extra 5%"
Gynoveda Medohar Guggulu Fat Burner Ayurvedic Tablets F...,"₹1,400",₹782,0,4,(71),44% off,"Buy 3 items, save extra 5%"
"N2B AYURVEDA Delay spray,long time,long last spray for ...","₹1,199",₹123,0,3.5,(104),89% off,Bank Offer
Geo Herb Shan E Mard Majoon Special 125gms,₹370,₹255,0,4.4,(31),31% off,Bank Offer
HIMALAYA Guduchi,₹165,₹92,0,4.4,"(2,068)",44% off,"Buy 3 items, save extra 5%"
Kapiva Dia Free Juice - Controls Blood Sugar Levels | A...,₹549,₹355,0,4.3,"(1,764)",35% off,"Buy 3 items, save extra 5%"
Dr Chopra Musli Blast Power Capsule 30,₹850,₹155,0,4.7,(3),81% off,Bank Offer
PATANJALI Youvnamrit Vati 40Tab,₹400,₹320,0,3.9,(64),20% off,Bank Offer
Make Unique Level X Extra Gold Power Health Capsules Fo...,"₹2,499",₹799,0,0,0,68% off,Bank Offer
Kapiva Thar Aloe Vera Juice (with Pulp) | Rejuvenates S...,₹299,₹145,0,4.3,"(23,833)",51% off,#1 Rated
Kapiva Pure Tulsi Ark (Helps Boost Immunity) - 30 Ml,₹320,₹168,0,4.4,(281),47% off,"Buy 3 items, save extra 5%"
Kapiva Aloe Vera + Wheatgrass Juice Natural Detoxifier ...,₹450,₹244,0,4.3,"(23,833)",45% off,#1 Rated
MOOV Instant Pain Relief Spray Spray,₹199,₹151,50 g,4.4,"(10,321)",24% off,#1 Rated
Dhootpapeshwar Swamala | Enriched with Gold | Immunity ...,"₹1,475","₹1,166",0,4.4,"(1,387)",20% off,Bank Offer
Gynoveda Anti Acne Ayurvedic Medicine. Manjistha Blood ...,₹800,₹483,0,4.1,(149),39% off,"Buy 3 items, save extra 5%"
Kapiva Digesti Care Juice - Provides Relief From Acidit...,₹549,₹307,0,4,(382),44% off,Bank Offer
"Dettol Disinfectant Multi-Use Hygiene Liquid, Menthol C...",₹386,₹216,"1000 ml, Pack of 2",4.5,"(12,066)",44% off,"Buy 3 items, save extra 5%"
Dabur Honitus Herbal Cough Remedy,₹185,₹140,0,4.6,(22),24% off,"Buy 3 items, save extra 5%"
Rex Remedies Farbah Oil (50ml),₹430,₹293,0,3.8,(27),31% off,Bank Offer
Riffway Peni Flux Herbal Wellness Intensifies Male Orga...,₹999,₹179,0,0,0,82% off,"Buy 3 items, save extra 5%"
